session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
k1hhm7lf,1,b0au8mbn,0,,InitializeParticipant,1753266024,1,0,0
k1hhm7lf,1,b0au8mbn,1,presurvey,Introduction,1753266048,1,0,0
k1hhm7lf,1,b0au8mbn,2,presurvey,Demographics,1753266058,1,0,0
k1hhm7lf,2,a8iixhc3,0,,InitializeParticipant,1753266067,1,0,0
k1hhm7lf,1,b0au8mbn,3,presurvey,NeighborhoodInstruction,1753266087,1,0,0
k1hhm7lf,3,tq70ya3t,0,,InitializeParticipant,1753266128,1,0,0
k1hhm7lf,1,b0au8mbn,4,presurvey,Training,1753266162,1,0,0
k1hhm7lf,4,rrvhld3u,0,,InitializeParticipant,1753266172,1,0,0
k1hhm7lf,3,tq70ya3t,1,presurvey,Introduction,1753266177,1,0,0
k1hhm7lf,1,b0au8mbn,5,presurvey,TrainingNeighbor_1,1753266203,1,0,0
k1hhm7lf,4,rrvhld3u,1,presurvey,Introduction,1753266204,1,0,0
k1hhm7lf,3,tq70ya3t,2,presurvey,Demographics,1753266209,1,0,0
k1hhm7lf,1,b0au8mbn,9,presurvey,ExperimentInstruction,1753266212,1,0,0
k1hhm7lf,4,rrvhld3u,2,presurvey,Demographics,1753266219,1,0,0
k1hhm7lf,5,5g7ydtcz,0,,InitializeParticipant,1753266223,1,0,0
k1hhm7lf,4,rrvhld3u,3,presurvey,NeighborhoodInstruction,1753266238,1,0,0
k1hhm7lf,4,rrvhld3u,4,presurvey,Training,1753266260,1,0,0
k1hhm7lf,1,b0au8mbn,10,presurvey,Scenario,1753266267,1,0,0
k1hhm7lf,4,rrvhld3u,5,presurvey,TrainingNeighbor_1,1753266283,1,0,0
k1hhm7lf,4,rrvhld3u,9,presurvey,ExperimentInstruction,1753266298,1,0,0
k1hhm7lf,1,b0au8mbn,20,presurvey,Scenario,1753266324,2,0,0
k1hhm7lf,4,rrvhld3u,10,presurvey,Scenario,1753266341,1,0,0
k1hhm7lf,6,u6l0tyq8,0,,InitializeParticipant,1753266362,1,0,0
k1hhm7lf,5,5g7ydtcz,1,presurvey,Introduction,1753266362,1,0,0
k1hhm7lf,3,tq70ya3t,3,presurvey,NeighborhoodInstruction,1753266364,1,0,0
k1hhm7lf,4,rrvhld3u,20,presurvey,Scenario,1753266375,2,0,0
k1hhm7lf,5,5g7ydtcz,2,presurvey,Demographics,1753266376,1,0,0
k1hhm7lf,1,b0au8mbn,30,presurvey,Scenario,1753266376,3,0,0
k1hhm7lf,6,u6l0tyq8,1,presurvey,Introduction,1753266379,1,0,0
k1hhm7lf,6,u6l0tyq8,2,presurvey,Demographics,1753266390,1,0,0
k1hhm7lf,5,5g7ydtcz,3,presurvey,NeighborhoodInstruction,1753266394,1,0,0
k1hhm7lf,1,b0au8mbn,31,mock,GroupingWaitPage,1753266399,1,1,0
k1hhm7lf,1,b0au8mbn,32,mock,DiscussionGRPWaitPage,1753266405,1,1,0
k1hhm7lf,4,rrvhld3u,30,presurvey,Scenario,1753266408,3,0,0
k1hhm7lf,1,b0au8mbn,33,mock,Nudge,1753266426,1,0,0
k1hhm7lf,4,rrvhld3u,31,mock,GroupingWaitPage,1753266430,1,1,0
